season,team_id,player_id,player_name,role_in_squad,is_overseas
2025,IPL_T20_GT,PLY_0521,Sai Sudharsan,Top order Batter,0
2025,IPL_T20_GT,PLY_0544,Shahrukh Khan,Batter,0
2025,IPL_T20_GT,PLY_0478,Rashid Khan,Bowling Allrounder,1
2025,IPL_T20_GT,PLY_0701,Pathum Nissanka,Batting Allrounder,1
2025,IPL_T20_GT,PLY_0339,Mahipal Lomror,Allrounder,0
2025,IPL_T20_GT,PLY_0154,Dasun Shanaka,Allrounder,1
2025,IPL_T20_GT,PLY_0702,Sahil Parekh,Allrounder,0
2025,IPL_T20_GT,PLY_0342,Manav Suthar,Allrounder,0
2025,IPL_T20_GT,PLY_0466,Rahul Tewatia,Allrounder,0
2025,IPL_T20_GT,PLY_0673,Washington Sundar,Allrounder,0
2025,IPL_T20_GT,PLY_0075,Arshad Khan,Bowler,0
2025,IPL_T20_GT,PLY_0203,Gerald Coetzee,Bowler,1
2025,IPL_T20_GT,PLY_0703,Ajay Mandal,Bowler,0
2025,IPL_T20_GT,PLY_0704,Auqib Nabi,Bowler,0
2025,IPL_T20_GT,PLY_0383,Mohammed Siraj,Bowler,0
2025,IPL_T20_GT,PLY_0445,Prasidh Krishna,Bowler,0
2025,IPL_T20_GT,PLY_0282,Kagiso Rabada,Bowler,1
2025,IPL_T20_GT,PLY_0520,Sai Kishore,Bowler,0
2025,IPL_T20_GT,PLY_0235,Ishant Sharma,Bowler,0
2025,IPL_T20_GT,PLY_0258,Jayant Yadav,Bowler,0
2025,IPL_T20_KKR,PLY_0028,Ajinkya Rahane,Top order Batter,0
2025,IPL_T20_KKR,PLY_0458,Quinton de Kock,Wicketkeeper Batter,1
2025,IPL_T20_KKR,PLY_0344,Manish Pandey,Top order Batter,0
2025,IPL_T20_KKR,PLY_0055,Angkrish Raghuvanshi,Top order Batter,0
2025,IPL_T20_KKR,PLY_0461,Rahmanullah Gurbaz,Wicketkeeper Batter,1
2025,IPL_T20_KKR,PLY_0475,Ramandeep Singh,Middle order Batter,0
2025,IPL_T20_KKR,PLY_0493,Rinku Singh,Middle order Batter,0
2025,IPL_T20_KKR,PLY_0705,Lungi Ngidi,Wicketkeeper Batter,0
2025,IPL_T20_KKR,PLY_0655,Venkatesh Iyer,Allrounder,0
2025,IPL_T20_KKR,PLY_0604,Sunil Narine,Bowling Allrounder,1
2025,IPL_T20_KKR,PLY_0069,Anukul Roy,Allrounder,0
2025,IPL_T20_KKR,PLY_0049,Andre Russell,Allrounder,1
2025,IPL_T20_KKR,PLY_0651,Vaibhav Arora,Bowler,0
2025,IPL_T20_KKR,PLY_0223,Harshit Rana,Bowler,0
2025,IPL_T20_KKR,PLY_0591,Spencer Johnson,Bowler,1
2025,IPL_T20_KKR,PLY_0363,Mayank Markande,Bowler,0
2025,IPL_T20_KKR,PLY_0066,Anrich Nortje,Bowler,1
2025,IPL_T20_KKR,PLY_0127,Chetan Sakariya,Bowler,0
2025,IPL_T20_KKR,PLY_0654,Varun Chakaravarthy,Bowler,0
2025,IPL_T20_LSG,PLY_0495,Rishabh Pant,Wicketkeeper Batter,0
2025,IPL_T20_LSG,PLY_0005,Abdul Samad,Batter,0
2025,IPL_T20_LSG,PLY_0090,Ayush Badoni,Batter,0
2025,IPL_T20_LSG,PLY_0358,Matthew Breetzke,Batter,1
2025,IPL_T20_LSG,PLY_0706,,Batter,0
2025,IPL_T20_LSG,PLY_0707,Tripurana Vijay,Wicketkeeper Batter,0
2025,IPL_T20_LSG,PLY_0026,Aiden Markram,Middle order Batter,1
2025,IPL_T20_LSG,PLY_0156,David Miller,Middle order Batter,1
2025,IPL_T20_LSG,PLY_0413,Nicholas Pooran,Wicketkeeper Batter,1
2025,IPL_T20_LSG,PLY_0708,Nishant Sindhu,Allrounder,0
2025,IPL_T20_LSG,PLY_0709,Ashok Sharma,Allrounder,0
2025,IPL_T20_LSG,PLY_0077,Arshin Atul Kulkarni,Allrounder,0
2025,IPL_T20_LSG,PLY_0371,Mitchell Marsh,Allrounder,1
2025,IPL_T20_LSG,PLY_0541,Shahbaz Ahmed,Allrounder,0
2025,IPL_T20_LSG,PLY_0555,Shardul Thakur,Allrounder,0
2025,IPL_T20_LSG,PLY_0031,Akash Deep,Bowler,0
2025,IPL_T20_LSG,PLY_0710,Gurnoor Brar,Bowler,0
2025,IPL_T20_LSG,PLY_0088,Avesh Khan,Bowler,0
2025,IPL_T20_LSG,PLY_0711,Kulwant Khejroliya,Bowler,1
2025,IPL_T20_LSG,PLY_0452,Prince Yadav,Bowler,0
2025,IPL_T20_LSG,PLY_0712,Finn Allen,Bowler,0
2025,IPL_T20_LSG,PLY_0481,Ravi Bishnoi,Bowler,0
2025,IPL_T20_LSG,PLY_0713,Tejasvi Dahiya,Bowler,0
2025,IPL_T20_MI,PLY_0271,Jonny Bairstow,Wicketkeeper Batter,1
2025,IPL_T20_MI,PLY_0714,Tejasvi Dahiya,Middle order Batter,1
2025,IPL_T20_MI,PLY_0499,Robin Minz,Wicketkeeper Batter,0
2025,IPL_T20_MI,PLY_0505,Rohit Sharma,Batter,0
2025,IPL_T20_MI,PLY_0715,,Wicketkeeper Batter,0
2025,IPL_T20_MI,PLY_0610,Suryakumar Yadav,Batter,0
2025,IPL_T20_MI,PLY_0214,Hardik Pandya,Allrounder,0
2025,IPL_T20_MI,PLY_0716,Saurabh Dube,Allrounder,1
2025,IPL_T20_MI,PLY_0717,Blessing Muzarabani,Allrounder,0
2025,IPL_T20_MI,PLY_0402,Naman Dhir,Allrounder,0
2025,IPL_T20_MI,PLY_0373,Mitchell Santner,Allrounder,1
2025,IPL_T20_MI,PLY_0625,Tilak Varma,Allrounder,0
