match_id,season,date,venue_id,team1_id,team2_id,toss_winner_id,toss_decision,first_innings_score,first_innings_wickets,match_stage
IPL2023_MAT_60,2023,14-05-2023,IPL_VEN_21,IPL_T20_RCB,IPL_T20_RR,IPL_T20_RCB,Bat,171,5,League
IPL2023_MAT_61,2023,14-05-2023,IPL_VEN_14,IPL_T20_CSK,IPL_T20_KKR,IPL_T20_CSK,Bat,144,6,League
IPL2023_MAT_62,2023,15-05-2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_SRH,IPL_T20_SRH,Field,188,9,League
IPL2023_MAT_63,2023,16-05-2023,IPL_VEN_08,IPL_T20_LSG,IPL_T20_MI,IPL_T20_MI,Field,177,3,League
IPL2023_MAT_64,2023,17-05-2023,IPL_VEN_10,IPL_T20_DC,IPL_T20_PBKS,IPL_T20_PBKS,Field,213,2,League
IPL2023_MAT_65,2023,18-05-2023,IPL_VEN_19,IPL_T20_SRH,IPL_T20_RCB,IPL_T20_RCB,Field,186,5,League
IPL2023_MAT_66,2023,19-05-2023,IPL_VEN_10,IPL_T20_PBKS,IPL_T20_RR,IPL_T20_RR,Field,187,5,League
IPL2023_MAT_67,2023,20-05-2023,IPL_VEN_02,IPL_T20_CSK,IPL_T20_DC,IPL_T20_CSK,Bat,223,3,League
IPL2023_MAT_68,2023,20-05-2023,IPL_VEN_07,IPL_T20_LSG,IPL_T20_KKR,IPL_T20_KKR,Field,176,8,League
IPL2023_MAT_69,2023,21-05-2023,IPL_VEN_25,IPL_T20_SRH,IPL_T20_MI,IPL_T20_MI,Field,200,5,League
IPL2023_MAT_70,2023,21-05-2023,IPL_VEN_13,IPL_T20_RCB,IPL_T20_GT,IPL_T20_GT,Field,197,5,League
IPL2023_MAT_71,2023,23-05-2023,IPL_VEN_14,IPL_T20_CSK,IPL_T20_GT,IPL_T20_GT,Field,172,7,Qualifier 1
IPL2023_MAT_72,2023,24-05-2023,IPL_VEN_14,IPL_T20_MI,IPL_T20_LSG,IPL_T20_MI,Bat,182,8,Eliminator
IPL2023_MAT_73,2023,26-05-2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_MI,IPL_T20_MI,Field,233,2,Qualifier 2
IPL2023_MAT_74,2023,29-05-2023,IPL_VEN_17,IPL_T20_GT,IPL_T20_CSK,IPL_T20_CSK,Field,214,4,Final
IPL2024_MAT_01,2024,22-03-2024,IPL_VEN_14,IPL_T20_RCB,IPL_T20_CSK,IPL_T20_RCB,Bat,173,6,League
IPL2024_MAT_02,2024,23-03-2024,IPL_VEN_15,IPL_T20_DC,IPL_T20_PBKS,IPL_T20_PBKS,Field,174,9,League
IPL2024_MAT_03,2024,23-03-2024,IPL_VEN_07,IPL_T20_KKR,IPL_T20_SRH,IPL_T20_SRH,Field,208,7,League
IPL2024_MAT_04,2024,24-03-2024,IPL_VEN_21,IPL_T20_RR,IPL_T20_LSG,IPL_T20_RR,Bat,193,4,League
IPL2024_MAT_05,2024,24-03-2024,IPL_VEN_17,IPL_T20_GT,IPL_T20_MI,IPL_T20_MI,Field,168,6,League
IPL2024_MAT_06,2024,25-03-2024,IPL_VEN_13,IPL_T20_PBKS,IPL_T20_RCB,IPL_T20_RCB,Field,176,6,League
IPL2024_MAT_07,2024,26-03-2024,IPL_VEN_14,IPL_T20_CSK,IPL_T20_GT,IPL_T20_GT,Field,206,6,League
IPL2024_MAT_08,2024,27-03-2024,IPL_VEN_19,IPL_T20_SRH,IPL_T20_MI,IPL_T20_MI,Field,277,3,League
IPL2024_MAT_09,2024,28-03-2024,IPL_VEN_21,IPL_T20_RR,IPL_T20_DC,IPL_T20_DC,Field,185,5,League
IPL2024_MAT_10,2024,29-03-2024,IPL_VEN_13,IPL_T20_RCB,IPL_T20_KKR,IPL_T20_KKR,Field,182,6,League
IPL2024_MAT_11,2024,30-03-2024,IPL_VEN_08,IPL_T20_LSG,IPL_T20_PBKS,IPL_T20_LSG,Bat,199,8,League
IPL2024_MAT_12,2024,31-03-2024,IPL_VEN_17,IPL_T20_SRH,IPL_T20_GT,IPL_T20_SRH,Bat,162,8,League
IPL2024_MAT_13,2024,31-03-2024,IPL_VEN_01,IPL_T20_DC,IPL_T20_CSK,IPL_T20_DC,Bat,191,5,League
IPL2024_MAT_14,2024,1/4/2024,IPL_VEN_25,IPL_T20_MI,IPL_T20_RR,IPL_T20_RR,Field,125,9,League
IPL2024_MAT_15,2024,2/4/2024,IPL_VEN_13,IPL_T20_LSG,IPL_T20_RCB,IPL_T20_RCB,Field,181,5,League
IPL2024_MAT_16,2024,3/4/2024,IPL_VEN_01,IPL_T20_KKR,IPL_T20_DC,IPL_T20_KKR,Bat,272,7,League
IPL2024_MAT_17,2024,4/4/2024,IPL_VEN_17,IPL_T20_GT,IPL_T20_PBKS,IPL_T20_PBKS,Field,199,4,League
IPL2024_MAT_18,2024,5/4/2024,IPL_VEN_19,IPL_T20_CSK,IPL_T20_SRH,IPL_T20_SRH,Field,165,5,League
IPL2024_MAT_19,2024,6/4/2024,IPL_VEN_21,IPL_T20_RCB,IPL_T20_RR,IPL_T20_RR,Field,183,3,League
IPL2024_MAT_20,2024,7/4/2024,IPL_VEN_25,IPL_T20_MI,IPL_T20_DC,IPL_T20_DC,Field,234,5,League
IPL2024_MAT_21,2024,7/4/2024,IPL_VEN_08,IPL_T20_LSG,IPL_T20_GT,IPL_T20_LSG,Bat,163,5,League
IPL2024_MAT_22,2024,8/4/2024,IPL_VEN_14,IPL_T20_KKR,IPL_T20_CSK,IPL_T20_CSK,Field,137,9,League
IPL2024_MAT_23,2024,9/4/2024,IPL_VEN_15,IPL_T20_SRH,IPL_T20_PBKS,IPL_T20_PBKS,Field,182,9,League
IPL2024_MAT_24,2024,10/4/2024,IPL_VEN_21,IPL_T20_RR,IPL_T20_GT,IPL_T20_GT,Field,196,3,League
IPL2024_MAT_25,2024,11/4/2024,IPL_VEN_25,IPL_T20_RCB,IPL_T20_MI,IPL_T20_MI,Field,196,8,League
IPL2024_MAT_26,2024,12/4/2024,IPL_VEN_08,IPL_T20_LSG,IPL_T20_DC,IPL_T20_LSG,Bat,167,7,League
IPL2024_MAT_27,2024,13-04-2024,IPL_VEN_15,IPL_T20_PBKS,IPL_T20_RR,IPL_T20_RR,Field,147,8,League
IPL2024_MAT_28,2024,14-04-2024,IPL_VEN_07,IPL_T20_LSG,IPL_T20_KKR,IPL_T20_KKR,Field,161,7,League
IPL2024_MAT_29,2024,14-04-2024,IPL_VEN_25,IPL_T20_CSK,IPL_T20_MI,IPL_T20_MI,Field,206,4,League
IPL2024_MAT_30,2024,15-04-2024,IPL_VEN_13,IPL_T20_SRH,IPL_T20_RCB,IPL_T20_RCB,Field,287,3,League
IPL2024_MAT_31,2024,16-04-2024,IPL_VEN_07,IPL_T20_KKR,IPL_T20_RR,IPL_T20_RR,Field,223,6,League
IPL2024_MAT_32,2024,17-04-2024,IPL_VEN_17,IPL_T20_GT,IPL_T20_DC,IPL_T20_DC,Field,89,10,League
