player_id,player_role,opponent_team_id,matches,runs_scored,balls_faced,batting_average,batting_strike_rate,wickets_taken,overs_bowled,bowling_average,bowling_economy
PLY_0597,Batter,IPL_T20_KKR,9,226,195,37.67,115.9,,,,
PLY_0597,Batter,IPL_T20_MI,13,430,329,43,130.7,,,,
PLY_0597,Batter,IPL_T20_PBKS,10,251,194,31.38,129.38,,,,
PLY_0597,Batter,IPL_T20_RCB,9,223,177,24.78,125.99,,,,
PLY_0597,Batter,IPL_T20_SRH,9,268,208,44.67,128.85,,,,
PLY_0598,Allrounder,IPL_T20_CSK,2,32,25,16,128,0,3.1,,12
PLY_0598,Allrounder,IPL_T20_DC,5,52,45,13,115.56,2,6,25.5,8.5
PLY_0598,Allrounder,IPL_T20_GL,2,21,15,21,140,0,3,,5.67
PLY_0598,Allrounder,IPL_T20_KKR,5,36,31,7.2,116.13,2,5,22,8.8
PLY_0598,Allrounder,IPL_T20_MI,6,23,16,23,143.75,3,11,22.67,6.18
PLY_0598,Allrounder,IPL_T20_PBKS,5,87,58,87,150,0,7,,7.86
PLY_0598,Allrounder,IPL_T20_RCB,3,20,21,10,95.24,1,6,39,6.5
PLY_0598,Allrounder,IPL_T20_RPS,3,19,15,9.5,126.67,1,6,57,9.5
PLY_0598,Allrounder,IPL_T20_SRH,4,39,34,19.5,114.71,1,4,32,8
PLY_0601,Bowler,IPL_T20_GT,1,9,9,9,100,,,,
PLY_0601,Bowler,IPL_T20_KKR,1,7,6,7,116.67,0,2,,9.5
PLY_0601,Bowler,IPL_T20_PBKS,1,2,9,2,22.22,0,1.2,,14.25
PLY_0604,Allrounder,IPL_T20_CSK,15,179,116,14.92,154.31,20,57.3,17.95,6.24
PLY_0604,Allrounder,IPL_T20_DC,18,259,144,18.5,179.86,17,67,28.82,7.31
PLY_0604,Allrounder,IPL_T20_GL,3,44,24,44,183.33,1,12,105,8.75
PLY_0604,Allrounder,IPL_T20_GT,4,22,19,7.33,115.79,4,15.1,31,8.18
PLY_0604,Allrounder,IPL_T20_LSG,6,161,79,32.2,203.8,5,23,30.4,6.61
PLY_0604,Allrounder,IPL_T20_MI,18,39,46,3.9,84.78,14,69,36.57,7.42
PLY_0604,Allrounder,IPL_T20_PBKS,19,251,130,27.89,193.08,21,72.1,23.9,6.96
PLY_0604,Allrounder,IPL_T20_RCB,16,332,183,30.18,181.42,17,64,27.94,7.42
PLY_0604,Allrounder,IPL_T20_RPS,4,16,17,16,94.12,3,15.4,34.67,6.64
PLY_0604,Allrounder,IPL_T20_RR,14,265,160,26.5,165.62,8,54.1,50,7.38
PLY_0604,Allrounder,IPL_T20_SRH,23,172,111,12.29,154.95,15,88,41.2,7.02
PLY_0608,Batter,IPL_T20_DC,12,294,210,29.4,140,0,9,,9.22
PLY_0608,Batter,IPL_T20_KKR,11,372,282,53.14,131.91,1,5,23,4.6
