player_id,player_name,from_team_id,to_team_id,season
PLY_0655,Venkatesh Iyer,,IPL_T20_KKR,2021
PLY_0655,Venkatesh Iyer,IPL_T20_KKR,IPL_T20_RCB,2026
PLY_0658,Vijay Shankar,,IPL_T20_CSK,2014
PLY_0658,Vijay Shankar,IPL_T20_CSK,IPL_T20_SRH,2016
PLY_0658,Vijay Shankar,IPL_T20_SRH,IPL_T20_DC,2018
PLY_0658,Vijay Shankar,IPL_T20_DC,IPL_T20_SRH,2019
PLY_0658,Vijay Shankar,IPL_T20_SRH,IPL_T20_GT,2022
PLY_0658,Vijay Shankar,IPL_T20_GT,IPL_T20_CSK,2025
PLY_0659,Vijay Zol,,IPL_T20_RCB,2014
PLY_0660,Vijayakanth Viyaskanth,,IPL_T20_SRH,2024
PLY_0662,Vikramjeet Malik,,IPL_T20_PBKS,2009
PLY_0662,Vikramjeet Malik,IPL_T20_PBKS,IPL_T20_RR,2013
PLY_0662,Vikramjeet Malik,IPL_T20_RR,IPL_T20_RCB,2016
PLY_0664,Vinay Kumar,,IPL_T20_RCB,2007
PLY_0664,Vinay Kumar,IPL_T20_RCB,IPL_T20_KTK,2011
PLY_0664,Vinay Kumar,IPL_T20_KTK,IPL_T20_RCB,2012
PLY_0664,Vinay Kumar,IPL_T20_RCB,IPL_T20_KKR,2014
PLY_0664,Vinay Kumar,IPL_T20_KKR,IPL_T20_MI,2015
PLY_0664,Vinay Kumar,IPL_T20_MI,IPL_T20_KKR,2018
PLY_0665,Vipraj Nigam,,IPL_T20_DC,2025
PLY_0666,Virat Kohli,,IPL_T20_RCB,2007
PLY_0667,Virat Singh,,IPL_T20_PBKS,2007
PLY_0667,Virat Singh,IPL_T20_PBKS,IPL_T20_SRH,2012
PLY_0668,Virender Sehwag,,IPL_T20_DC,2007
PLY_0668,Virender Sehwag,IPL_T20_DC,IPL_T20_PBKS,2014
PLY_0669,Vishnu Vinod,,IPL_T20_RCB,2017
PLY_0669,Vishnu Vinod,IPL_T20_RCB,IPL_T20_DC,2021
PLY_0669,Vishnu Vinod,IPL_T20_DC,IPL_T20_SRH,2022
PLY_0669,Vishnu Vinod,IPL_T20_SRH,IPL_T20_MI,2023
PLY_0669,Vishnu Vinod,IPL_T20_MI,IPL_T20_PBKS,2025
PLY_0670,Vivrant Sharma,,IPL_T20_SRH,2023
PLY_0671,Vyshak Vijaykumar,,IPL_T20_RCB,2024
PLY_0672,Wanindu Hasaranga,,IPL_T20_RCB,2021
PLY_0672,Wanindu Hasaranga,IPL_T20_RCB,IPL_T20_RR,2025
PLY_0672,Wanindu Hasaranga,IPL_T20_RR,IPL_T20_LSG,2026
PLY_0673,Washington Sundar,,IPL_T20_RPS,2017
PLY_0673,Washington Sundar,IPL_T20_RPS,IPL_T20_RCB,2018
PLY_0673,Washington Sundar,IPL_T20_RCB,IPL_T20_SRH,2022
PLY_0673,Washington Sundar,IPL_T20_SRH,IPL_T20_GT,2025
PLY_0675,Wayne Parnell,,IPL_T20_PW,2011
