player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0460,Rachin Ravindra,Overseas,Left-hand,Left-arm off-spin,Allrounder,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Rachin%20Ravindra.png
PLY_0069,Anukul Roy,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png
PLY_0651,Vaibhav Arora,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Arora.png
PLY_0716,Saurabh Dube,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Saurabh%20Dube.png
PLY_0293,Kartik Tyagi,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Kartik%20Tyagi.png
PLY_0717,Blessing Muzarabani,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Blessing%20Muzarabani.png
PLY_0718,Matheesha Pathirana,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Matheesha%20Pathirana.png
PLY_0408,Navdeep Saini,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Navdeep%20Saini.png
PLY_0719,Prashant Solanki,India,Right-hand,Right-arm off-spin,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Prashant%20Solanki.png
PLY_0645,Umran Malik,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Umran%20Malik.png
PLY_0654,Varun Chakaravarthy,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_KKR,https://scores.iplt20.com/ipl/playerimages/Varun%20Chakaravarthy.png
PLY_0495,Rishabh Pant,India,Left-hand,Right-arm medium,Wicketkeeper,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Rishabh%20Pant.png
PLY_0005,Abdul Samad,India,Right-hand,Right-arm leg-spin,Batter,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Abdul%20Samad.png
PLY_0720,Akshat Raghuwanshi,India,Left-hand,Left-arm off-spin,Batter,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Akshat%20Raghuwanshi.png
PLY_0090,Ayush Badoni,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Ayush%20Badoni.png
PLY_0358,Matthew Breetzke,Overseas,Right-hand,,Batter,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Matthew%20Breetzke.png
PLY_0721,Mukul Choudhary,India,Right-hand,Right-arm fast,Batter,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Mukul%20Choudhary.png
PLY_0722,Himmat Singh,India,Right-hand,,Batter,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Himmat%20Singh.png
PLY_0274,Josh Inglis,Overseas,Right-hand,,Wicketkeeper,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Josh%20Inglis.png
PLY_0026,Aiden Markram,Overseas,Right-hand,Right-arm off-spin,Batter,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Aiden%20Markram.png
PLY_0413,Nicholas Pooran,Overseas,Left-hand,,Wicketkeeper,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png
PLY_0672,Wanindu Hasaranga,Overseas,Right-hand,Right-arm leg-spin,Allrounder,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Wanindu%20Hasaranga.png
PLY_0077,Arshin Atul Kulkarni,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Arshin%20Atul%20Kulkarni.png
PLY_0371,Mitchell Marsh,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png
PLY_0541,Shahbaz Ahmed,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Ahmed.png
PLY_0723,Akash Singh,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Akash%20Singh.png
PLY_0088,Avesh Khan,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png
PLY_0382,Mohammad Shami,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Mohammad%20Shami.png
PLY_0388,Mohsin Khan,India,Left-hand,Left-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png
PLY_0066,Anrich Nortje,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png
PLY_0452,Prince Yadav,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Prince%20Yadav.png
PLY_0724,Digvesh Rathi,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Digvesh%20Rathi.png
PLY_0725,Manimaran Siddharth,India,Left-hand,Left-arm off-spin,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Manimaran%20Siddharth.png
PLY_0073,Arjun Tendulkar,India,Left-hand,Left-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Arjun%20Tendulkar.png
PLY_0726,Naman Tiwari,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Naman%20Tiwari.png
PLY_0727,Mayank Yadav,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_LSG,https://scores.iplt20.com/ipl/playerimages/Mayank%20Yadav.png
PLY_0458,Quinton de Kock,Overseas,Left-hand,,Wicketkeeper,1,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Quinton%20de%20Kock.png
PLY_0728,Danish Malewar,India,Right-hand,,Batter,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Danish%20Malewar.png
PLY_0499,Robin Minz,India,Right-hand,,Wicketkeeper,0,IPL_T20_MI,https://scores.iplt20.com/ipl/playerimages/Robin%20Minz.png
